epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,10646,1.01763,0.69864,1.07443,0.96798,0.91596,0.95631,0.75656,0.68649,0.38255,0.88035,0.0005149,0.0005149,0.0005149
100,10719.8,1.01934,0.69547,1.07902,0.96913,0.91348,0.95592,0.7568,0.68753,0.3837,0.88164,0.00050995,0.00050995,0.00050995
101,10793.3,1.00775,0.69612,1.07609,0.9711,0.91821,0.95755,0.75767,0.68723,0.38326,0.88248,0.000505,0.000505,0.000505
102,10866.3,1.01223,0.69271,1.07078,0.97131,0.91957,0.95699,0.75679,0.68878,0.38291,0.88222,0.00050005,0.00050005,0.00050005
103,10939,1.01777,0.69631,1.07564,0.97268,0.91586,0.95674,0.7571,0.68816,0.38338,0.88192,0.0004951,0.0004951,0.0004951
104,11012.5,1.01007,0.6875,1.0716,0.97509,0.91511,0.95682,0.75647,0.69307,0.38438,0.88408,0.00049015,0.00049015,0.00049015
105,11086,1.01209,0.7133,1.07761,0.97054,0.91911,0.95698,0.75566,0.69626,0.38418,0.88566,0.0004852,0.0004852,0.0004852
106,11160.1,1.00182,0.6871,1.07293,0.96851,0.91958,0.95828,0.7557,0.69644,0.3833,0.88507,0.00048025,0.00048025,0.00048025
107,11233.1,1.00412,0.69209,1.06981,0.96516,0.92578,0.95745,0.75738,0.69531,0.38245,0.88505,0.0004753,0.0004753,0.0004753
108,11305.5,1.01055,0.69175,1.07492,0.9654,0.92534,0.9571,0.75663,0.69306,0.38175,0.8846,0.00047035,0.00047035,0.00047035
109,11378.2,1.00559,0.68284,1.06608,0.96792,0.92268,0.95806,0.76064,0.69063,0.381,0.88298,0.0004654,0.0004654,0.0004654
110,11450.4,1.00942,0.69371,1.07175,0.96517,0.92616,0.95888,0.76022,0.68971,0.37907,0.88249,0.00046045,0.00046045,0.00046045
111,11523.1,1.00346,0.68739,1.07333,0.96382,0.92728,0.95852,0.76017,0.68909,0.37916,0.88248,0.0004555,0.0004555,0.0004555
112,11595.1,0.98592,0.67248,1.05789,0.96162,0.92962,0.95839,0.76119,0.68845,0.37793,0.88213,0.00045055,0.00045055,0.00045055
113,11667.6,1.00046,0.68358,1.06947,0.96501,0.92712,0.95861,0.75998,0.68797,0.37805,0.88227,0.0004456,0.0004456,0.0004456
114,11739.6,1.00112,0.67915,1.0715,0.96501,0.92844,0.95841,0.76078,0.68534,0.37764,0.88032,0.00044065,0.00044065,0.00044065
115,11812.6,0.99556,0.66969,1.06582,0.95896,0.93129,0.95824,0.76008,0.68415,0.3773,0.87988,0.0004357,0.0004357,0.0004357
116,11885.4,1.00003,0.67766,1.06674,0.96154,0.93079,0.95809,0.76056,0.68244,0.37638,0.87965,0.00043075,0.00043075,0.00043075
